pa	p a
kak	k ak
kai	k ai
kainn	k ainn
kau	k au
kauh	k auh
ke	k e
keh	k eh
kenn	k enn
ki	k i
kih	k ih
kinn	k inn
kim	k im
kip	k ip
kin	k in
king	k ing
kik	k ik
kia	k ia
kiah	k iah
kiann	k iann
kiam	k iam
kiap	k iap
kian	k ian
kiat	k iat
kiau	k iau
kio	k io
kioh	k ioh
kiong	k iong
kiok	k iok
kiu	k iu
kiunn	k iunn
kng	k ng
ko	k o
koh	k oh
konn	k onn
kong	k ong
kok	k ok
koo	k oo
ku	k u
kun	k un
kut	k ut
kua	k ua
kuah	k uah
kuann	k uann
kuan	k uan
kuat	k uat
kuai	k uai
kue	k ue
kueh	k ueh
kui	k ui
kuinn	k uinn
kha	kh a
khah	kh ah
khann	kh ann
kham	kh am
khap	kh ap
khan	kh an
khat	kh at
khang	kh ang
khak	kh ak
khai	kh ai
khainn	kh ainn
khau	kh au
khe	kh e
kheh	kh eh
khenn	kh enn
khennh	kh ennh
khi	kh i
khih	kh ih
khinn	kh inn
khim	kh im
khip	kh ip
khin	kh in
khit	kh it
khing	kh ing
khik	kh ik
khia	kh ia
khiah	kh iah
khiam	kh iam
khiap	kh iap
khian	kh ian
khiat	kh iat
khiang	kh iang
khiau	kh iau
khio	kh io
khioh	kh ioh
khiong	kh iong
khiok	kh iok
khiu	kh iu
khiunn	kh iunn
khng	kh ng
kho	kh o
khong	kh ong
khok	kh ok
khoo	kh oo
khu	kh u
khuh	kh uh
khun	kh un
khut	kh ut
khua	kh ua
khuah	kh uah
khuann	kh uann
khuan	kh uan
khuat	kh uat
khuai	kh uai
khue	kh ue
khueh	kh ueh
khui	kh ui
khuinn	kh uinn
ga	g a
gam	g am
gan	g an
gang	g ang
gak	g ak
gai	g ai
gau	g au
ge	g e
geh	g eh
gi	g i
gim	g im
gin	g in
ging	g ing
gik	g ik
gia	g ia
giah	g iah
giam	g iam
giap	g iap
gian	g ian
giat	g iat
giang	g iang
giau	g iau
gio	g io
gioh	g ioh
giong	g iong
giok	g iok
giu	g iu
go	g o
gong	g ong
gok	g ok
goo	g oo
gu	g u
gun	g un
gua	g ua
guan	g uan
guat	g uat
gue	g ue
gueh	g ueh
gui	g ui
nga	ng a
ngai	ng ai
ngau	ng au
nge	ng e
ngeh	ng eh
ngi	ng i
ngia	ng ia
ngiau	ng iau
ngiu	ng iu
ngoo	ng oo
ha	h a
hah	h ah
hann	h ann
hannh	h annh
ham	h am
hap	h ap
han	h an
hat	h at
hang	h ang
hak	h ak
hai	h ai
hainn	h ainn
hau	h au
he	h e
heh	h eh
hi	h i
hiauh	h iauh
hinn	h inn
him	h im
hip	h ip
hin	h in
hit	h it
hing	h ing
hik	h ik
hia	h ia
hiah	h iah
hiann	h iann
hiannh	h iannh
hiam	h iam
hiap	h iap
hian	h ian
hiat	h iat
hiang	h iang
hiau	h iau
hio	h io
hioh	h ioh
hiong	h iong
hiok	h iok
hiu	h iu
hiunn	h iunn
hm	h m
hng	h ng
ho	h o
hoh	h oh
honn	h onn
hong	h ong
hok	h ok
hoo	h oo
hooh	h ooh
hu	h u
hun	h un
hut	h ut
hua	h ua
huah	h uah
huann	h uann
huan	h uan
huat	h uat
huai	h uai
hue	h ue
hueh	h ueh
hui	h ui
huinn	h uinn
tsa	ts a
tsah	ts ah
tsann	ts ann
tsam	ts am
tsap	ts ap
tsan	ts an
tsat	ts at
tsang	ts ang
tsak	ts ak
tsai	ts ai
tsainn	ts ainn
tsau	ts au
tse	ts e
tseh	ts eh
tsenn	ts enn
tsi	ts i
tsih	ts ih
tsinn	ts inn
tsim	ts im
tsip	ts ip
tsin	ts in
tsit	ts it
tsing	ts ing
tsik	ts ik
tsia	ts ia
tsiah	ts iah
tsiann	ts iann
tsiam	ts iam
tsiap	ts iap
tsian	ts ian
tsiat	ts iat
tsiang	ts iang
tsiau	ts iau
tsio	ts io
tsioh	ts ioh
tsiong	ts iong
tsiok	ts iok
tsiu	ts iu
tsiunn	ts iunn
tsng	ts ng
tso	ts o
tsoh	ts oh
tsong	ts ong
tsok	ts ok
tsoo	ts oo
tsu	ts u
tsuh	ts uh
tsun	ts un
tsut	ts ut
tsua	ts ua
tsuah	ts uah
tsuann	ts uann
tsuan	ts uan
tsuat	ts uat
tsue	ts ue
tsueh	ts ueh
tsui	ts ui
tsha	tsh a
tshah	tsh ah
tshann	tsh ann
tsham	tsh am
tshap	tsh ap
tshan	tsh an
tshat	tsh at
tshang	tsh ang
tshak	tsh ak
tshai	tsh ai
tshau	tsh au
tshauh	tsh auh
tshe	tsh e
tsheh	tsh eh
tshenn	tsh enn
tshi	tsh i
tshih	tsh ih
tshinn	tsh inn
tshim	tsh im
tship	tsh ip
tshin	tsh in
tshit	tsh it
tshing	tsh ing
tshik	tsh ik
tshia	tsh ia
tshiah	tsh iah
tshiann	tsh iann
tshiam	tsh iam
tshiap	tsh iap
tshian	tsh ian
tshiat	tsh iat
tshiang	tsh iang
tshiau	tsh iau
tshio	tsh io
tshioh	tsh ioh
tshiong	tsh iong
tshiok	tsh iok
tshiu	tsh iu
tshiunn	tsh iunn
tshng	tsh ng
tsho	tsh o
tshoh	tsh oh
tshong	tsh ong
tshok	tsh ok
tshoo	tsh oo
tshu	tsh u
tshuh	tsh uh
tshun	tsh un
tshut	tsh ut
tshua	tsh ua
tshuah	tsh uah
tshuann	tsh uann
tshuan	tsh uan
tshue	tsh ue
tshueh	tsh ueh
tshui	tsh ui
sa	s a
sah	s ah
sann	s ann
sannh	s annh
sam	s am
sap	s ap
san	s an
sat	s at
sang	s ang
sak	s ak
sai	s ai
sau	s au
se	s e
seh	s eh
senn	s enn
si	s i
sih	s ih
sinn	s inn
sim	s im
sip	s ip
sin	s in
sit	s it
sing	s ing
sik	s ik
sia	s ia
siah	s iah
siann	s iann
siam	s iam
siap	s iap
sian	s ian
siat	s iat
siang	s iang
siau	s iau
sio	s io
sioh	s ioh
siong	s iong
siok	s iok
siu	s iu
siunn	s iunn
sng	s ng
so	s o
soh	s oh
som	s om
song	s ong
sok	s ok
soo	s oo
su	s u
suh	s uh
sun	s un
sut	s ut
sua	s ua
suah	s uah
suann	s uann
suan	s uan
suat	s uat
sue	s ue
sueh	s ueh
sui	s ui
ji	j i
jim	j im
jip	j ip
jin	j in
jit	j it
jia	j ia
jiah	j iah
jiam	j iam
jiap	j iap
jian	j ian
jiat	j iat
jiang	j iang
jiau	j iau
jio	j io
jiong	j iong
jiok	j iok
jiu	j iu
ju	j u
jun	j un
juah	j uah
jue	j ue
a	a
ah	ah
ann	ann
am	am
ap	ap
an	an
at	at
ang	ang
ak	ak
ai	ai
aih	aih
ainn	ainn
au	au
auh	auh
e	e
eh	eh
enn	enn
ennh	ennh
i	i
ih	ih
inn	inn
im	im
ip	ip
in	in
it	it
ing	ing
ik	ik
ia	ia
iah	iah
iann	iann
iam	iam
iap	iap
ian	ian
iat	iat
iang	iang
iau	iau
io	io
ioh	ioh
iong	iong
iok	iok
iu	iu
iunn	iunn
m	m
ng	ng
o	o
oh	oh
onn	onn
om	om
ong	ong
ok	ok
oo	oo
ooh	ooh
u	u
uh	uh
un	un
ut	ut
ua	ua
uah	uah
uann	uann
uan	uan
uat	uat
uai	uai
uainn	uainn
ue	ue
ueh	ueh
ui	ui
